,Number,submitted,updated,category,males,females,id,title,abstract
3,14,2019-03-15,2019-03-15,physics,10.0,2.0,1903.06311v2,Quantifying Bell: the Resource Theory of Nonclassicality of Common-Cause   Boxes,"We take a resource-theoretic approach to the problem of quantifying nonclassicality in Bell scenarios. We conceptualize the resources as probabilistic processes from the setting variables to the outcome variables having a particular causal structure, namely, one wherein the wings are only connected by a common cause. We term them ``common-cause boxes''. We define the distinction between classical and nonclassical resources in terms of whether or not a classical causal model can explain the correlations. We then quantify the relative nonclassicality of resources by considering their interconvertibility relative to the set of operations that can be implemented using a classical common cause (which correspond to local operations and shared randomness). We prove that the set of free operations forms a polytope, which in turn allows us to derive an efficient algorithm for deciding whether one resource can be converted to another. We moreover define two distinct monotones with simple closed-form expressions in the two-party binary-setting binary-outcome scenario, and use these to reveal various properties of the pre-order of resources, including a lower bound on the cardinality of any complete set of monotones. In particular, we show that the information contained in the degrees of violation of facet-defining Bell inequalities is not sufficient for quantifying nonclassicality, even though it is sufficient for witnessing nonclassicality. Finally, we show that the continuous set of convexly extremal quantumly realizable correlations are all at the top of the preorder of quantumly realizable correlations. In addition to providing new insights on Bell nonclassicality, our work also sets the stage for quantifying nonclassicality in more general causal networks."
15,53,2019-03-15,2019-03-15,physics,4.0,3.0,1903.06346v1,Optimal FX Hedge Tenor with Liquidity Risk,"We develop an optimal currency hedging strategy for fund managers who own foreign assets to choose the hedge tenors that maximize their FX carry returns within a liquidity risk constraint. The strategy assumes that the offshore assets are fully hedged with FX forwards. The chosen liquidity risk metric is Cash Flow at Risk (CFaR). The strategy involves time-dispersing the total nominal hedge value into future time buckets to maximize (minimize) the expected FX carry benefit (cost), given the constraint that the CFaRs in all the future time buckets do not breach a predetermined liquidity budget. We demonstrate the methodology via an illustrative example where shorter-dated forwards are assumed to deliver higher carry trade returns (motivated by the historical experience where AUD is the domestic currency and USD is the foreign currency). We also introduce a tenor-ranking method which is useful when this assumption fails. We show by Monte Carlo simulation and by backtesting that our hedging strategy successfully operates within the liquidity budget. We provide practical insights on when and why fund managers should choose short-dated or long-dated tenors."
19,62,2019-03-15,2019-03-15,physics,2.0,2.0,1903.07414v3,A Lightweight Optical Flow CNN - Revisiting Data Fidelity and   Regularization,"Over four decades, the majority addresses the problem of optical flow estimation using variational methods. With the advance of machine learning, some recent works have attempted to address the problem using convolutional neural network (CNN) and have showed promising results. FlowNet2, the state-of-the-art CNN, requires over 160M parameters to achieve accurate flow estimation. Our LiteFlowNet2 outperforms FlowNet2 on Sintel and KITTI benchmarks, while being 25.3 times smaller in the model size and 3.1 times faster in the running speed. LiteFlowNet2 is built on the foundation laid by conventional methods and resembles the corresponding roles as data fidelity and regularization in variational methods. We compute optical flow in a spatial-pyramid formulation as SPyNet but through a novel lightweight cascaded flow inference. It provides high flow estimation accuracy through early correction with seamless incorporation of descriptor matching. Flow regularization is used to ameliorate the issue of outliers and vague flow boundaries through feature-driven local convolutions. Our network also owns an effective structure for pyramidal feature extraction and embraces feature warping rather than image warping as practiced in FlowNet2 and SPyNet. Comparing to LiteFlowNet, LiteFlowNet2 improves the optical flow accuracy on Sintel Clean by 23.3%, Sintel Final by 12.8%, KITTI 2012 by 19.6%, and KITTI 2015 by 18.8%, while being 2.2 times faster. Our network protocol and trained models are made publicly available on https://github.com/twhui/LiteFlowNet2."
23,90,2019-03-15,2019-03-15,physics,1.0,5.0,1903.06381v3,Vector and Scalar Mesons' Mixing from QCD Sum Rules,"We study $\bar qq$-hybrid mixing for the light vector mesons and   $\bar qq$-glueball mixing for the light scalar mesons in Monte-Carlo based QCD Laplace sum rules. By calculating the two-point correlation function of a vector $\bar q\gamma_\mu q$ (scalar $\bar q q$) current and a hybrid (glueball) current we are able to estimate the mass and the decay constants of the corresponding mixed ""physical state"" that couples to both currents. Our results do not support strong quark/gluonic mixing for either the $1^{--}$ or the $0^{++}$ states."
24,99,2019-03-15,2019-03-15,physics,2.0,1.0,1903.06390v1,Equations for HLM generalized fields,"A general Lie algebra of operators of coordinates, momenta, and Lorentz group generators is investigated. In the limiting case, it becomes the Lie algebra of operators of the canonical quantum theory. Structure constants of the general Lie algebra depend on the known constants c and h, as well as additional constants with dimensions of action (H), length (L), and mass (M). It is presented some realizations of general Lie algebra operators and equations for HLM generalized fields forming particular representation spaces of the HLM algebra."
26,110,2019-03-15,2019-03-15,physics,4.0,1.0,1903.06401v1,"Inference for First-Price Auctions with Guerre, Perrigne, and Vuong's   Estimator","We consider inference on the probability density of valuations in the first-price sealed-bid auctions model within the independent private value paradigm. We show the asymptotic normality of the two-step nonparametric estimator of Guerre, Perrigne, and Vuong (2000) (GPV), and propose an easily implementable and consistent estimator of the asymptotic variance. We prove the validity of the pointwise percentile bootstrap confidence intervals based on the GPV estimator. Lastly, we use the intermediate Gaussian approximation approach to construct bootstrap-based asymptotically valid uniform confidence bands for the density of the valuations."
33,142,2019-03-15,2019-03-15,physics,2.0,1.0,1903.06431v1,Decoherence of charge density waves in beam splitters for interacting   quantum wires,"Simple intersections between one-dimensional channels can act as coherent beam splitters for non-interacting electrons. Here we examine how coherent splitting at such intersections is affected by inter-particle interactions, in the special case of an intersection of topological edge states. We derive an effective impurity model which represents the edge-state intersection within Luttinger liquid theory at low energy. For Luttinger K = 1 / 2 , we compute the exact time-dependent expectation values of the charge density as well as the density-density correlation functions. In general a single incoming charge density wave packet will split into four outgoing wave packets with transmission and reflection coefficients depending on the strengths of the tunnelling processes between the wires at the junction. We find that when multiple charge density wave packets from different directions pass through the intersection at the same time, reflection and splitting of the packets depend on the relative phases of the waves. Active use of this phase-dependent splitting of wave packets may make Luttinger interferometry possible. We also find that coherent incident packets generally suffer partial decoherence from the intersection, with some of their initially coherent signal being transferred into correlated quantum noise. In an extreme case four incident coherent wave packets can be transformed entirely into density-density correlations, with the charge density itself having zero expectation value everywhere in the final state."
42,163,2019-03-15,2019-03-15,physics,3.0,3.0,1903.06450v1,A domain mapping approach for elliptic equations posed on random bulk   and surface domains,"In this article, we analyse the domain mapping method approach to approximate statistical moments of solutions to linear elliptic partial differential equations posed over random geometries including smooth surfaces and bulk-surface systems. In particular, we present the necessary geometric analysis required by the domain mapping method to reformulate elliptic equations on random surfaces onto a fix deterministic surface using a prescribed stochastic parametrisation of the random domain. An abstract analysis of a finite element discretisation coupled with a Monte-Carlo sampling is presented for the resulting elliptic equations with random coefficients posed over the fixed curved reference domain and optimal error estimates are derived. The results from the abstract framework are applied to a model elliptic problem on a random surface and a coupled elliptic bulk-surface system and the theoretical convergence rates are confirmed by numerical experiments."
48,180,2019-03-15,2019-03-15,physics,9.0,1.0,1903.06466v1,Band-selective clean- and dirty-limit superconductivity with nodeless   gaps in the bilayer iron-based superconductor CsCa$_2$Fe$_4$As$_4$F$_2$,"The optical properties of the new iron-based superconductor CsCa$_2$Fe$_4$As$_4$F$_2$ with $T_c \sim 29$~K have been determined. In the normal state a good description of the low-frequency response is obtained with a superposition of two Drude components of which one has a very low scattering rate (narrow Drude-peak) and the other a rather large one (broad Drude-peak). Well below $T_c \sim 29$~K, a pronounced gap feature is observed which involves a complete suppression of the optical conductivity below $\sim$ 110~cm$^{-1}$ and thus is characteristic of a nodeless superconducting state. The optical response of the broad Drude-component can be described with a dirty-limit Mattis-Bardeen-type response with a single isotropic gap of $2\Delta \simeq 14$~meV. To the contrary, the response of the narrow Drude-component is in the ultra-clean-limit and its entire spectral weight is transferred to the zero-frequency $\delta(\omega)$ function that accounts for the loss-free response of the condensate. These observations provide clear evidence for a band-selective coexistence of clean- and dirty-limit superconductivity with nodeless gaps in CsCa$_2$Fe$_4$As$_4$F$_2$."
59,205,2019-03-15,2019-03-15,physics,7.0,1.0,1903.06487v3,"Nucleon axial, scalar, and tensor charges using lattice QCD at the   physical pion mass","We report on lattice QCD calculations of the nucleon isovector axial, scalar, and tensor charges. Our calculations are performed on two 2+1-flavor ensembles generated using a 2-HEX-smeared Wilson-clover action at the physical pion mass and lattice spacings $a\approx$ 0.116 and 0.093 fm. We use a wide range of source-sink separations - eight values ranging from roughly 0.4 to 1.4 fm on the coarse ensemble and three values from 0.9 to 1.5 fm on the fine ensemble - which allows us to perform an extensive study of excited-state effects using different analysis and fit strategies. To determine the renormalization factors, we use the nonperturbative Rome-Southampton approach and compare RI'-MOM and RI-SMOM intermediate schemes to estimate the systematic uncertainties. Our final results are computed in the MS-bar scheme at scale 2 GeV. The tensor and axial charges have uncertainties of roughly 4%, $g_T=0.972(41)$ and $g_A=1.265(49)$. The resulting scalar charge, $g_S=0.927(303)$, has a much larger uncertainty due to a stronger dependence on the choice of intermediate renormalization scheme and on the lattice spacing."
